ReferenceNumber,WatchName,Gender,Location,Price,Currency,BrandName,Condition,ScopeOfDelivery,WatchLink,WatchImage,WebsiteName,WatchModel,Year,Movement,PowerReserve,NumberOfJewels,CaseDiameter,CaseMaterial,WaterResistanceAtm,BezelMaterial,Glass,DialColor,BraceletMaterial,BraceletColor,Buckle,BuckleMaterial,Functions,Description,Other
116520,Rolex Daytona 116520,,United States of America,21.5,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona--id12770003.htm,https://cdn2.chrono24.com/images/uhren/images_03/s0/12770003gross_v1572294283523.jpg,Chrono24,daytona,"
",,,,40,Steel,,Steel,Sapphire Glass,White,Steel,Steel,,,,"Rolex Daytona White Dial Ref. 116520 
  
The Rolex Cosmograph Daytona was first introduced in 1963, and has become perhaps the most recognized timepiece ever designed. This discontinued model in steel with a steel bezel has become immensely sought after by collectors. The white dial is perfectly complimented by the silver toned subdials. This particular example from 2008 is in excellent condition and comes with a Material Good warranty, Rolex original box and papers.",
16758,Rolex GMT-Master 16758,U,United States of America,NaN,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/vintage-gmt-master-18k-yellow-gold-ref-16758--id10738251.htm,https://cdn2.chrono24.com/images/uhren/images_51/s2/10738251_xxl_v1552784011133.jpg,Chrono24,gmt.master,"
",Automatic,48,27,40,Yellow gold,10,Yellow gold,Sapphire Glass,Black,Yellow gold,Gold,,,,,
116500LN,Rolex Daytona 116500LN,U,United States of America,24,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona--id12746751.htm,https://cdn2.chrono24.com/images/uhren/images_51/s7/12746751_xxl_v1572037057635.jpg,Chrono24,daytona,"
",Automatic,72,44,40,Steel,10,Ceramic,Sapphire Glass,White,Steel,Steel,,,,"NASHVILLE WATCH, LLC - 615-969-5066











Manufacture: Rolex



Model: Daytona



Reference: 116500



Case Size: 40mm



Case Material: Stainless Steel



Bracelet Material:  Stainless Steel



Crystal: Sapphire 



Movement: Automatic Calibre 4130



Dial:  White



Box: Yes



Papers: Yes



Age:  Warranty Card Dated - 06/2019









This Rolex Daytona is in excellent conditon. It was just sold in June of 2019 and is complete with all boxes and papers.



The case is in excellent condition.



The bracelet is in excellent condition with a few hairlines. It has all the links (12 plus easy link) and will fit around a 7.75"" wrist.



The watch is functioning as it should and keeping great time; within COSC.",
5513,Rolex Submariner (No Date) 5513,U,United States of America,11.243,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/vintage-1967-rolex-submariner-no-date-meters-first-5513-matte-black-40mm-watch--id12631631.htm,https://cdn2.chrono24.com/images/uhren/images_31/s6/12631631_xxl_v1570807726056.jpg,Chrono24,submariner (no date),"
",Automatic,,,40,Steel,,Steel,Plexiglass,Black,Steel,Silver,,,,,
Rolex Datejust 16233,Rolex Datejust Rolex Datejust 16233,,United States of America,4.85,USD,Rolex,Preowned,Box included and papers not included,https://www.chrono24.com/rolex//rolex/16233--id12329051.htm,https://cdn2.chrono24.com/images/uhren/images_51/s0/12329051_xxl_v1567802762470.jpg,Chrono24,datejust,"
",,,,,,,,,,,,,,,,
126331,Rolex Datejust II 126331,U,United States of America,12.699,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/datejust-41mm-steel--18k-rose-gold-chocolate-dial-126331--id11794073.htm,https://cdn2.chrono24.com/images/uhren/images_73/s0/11794073_xxl_v1564348711433.jpg,Chrono24,datejust ii,"
",Automatic,70,31,41,Gold/Steel,10,Rose gold,Sapphire Glass,Brown,Gold/Steel,Gold/Steel,,,,,
116509,Rolex Daytona 116509,U,United States of America,35.8,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona-40mm-white-gold-blue-dial--id11794185.htm,https://cdn2.chrono24.com/images/uhren/images_85/s1/11794185gross_v1564350977794.jpg,Chrono24,daytona,"
",Automatic,72,44,40,White gold,10,White gold,Sapphire Glass,Blue,White gold,Gold,,,,,
126600,Rolex Sea-Dweller 126600,U,United States of America,13.725,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/126600-sea-dweller-black-red-label--id12564170.htm,https://cdn2.chrono24.com/images/uhren/images_70/s1/12564170_xxl_v1573581976816.jpg,Chrono24,sea.dweller,"
",Automatic,70,,44,Steel,120,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,,
116508,Rolex Daytona 116508,U,United States of America,43.3,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona-40mm-18kt-yellow-gold-green-dial--id8769641.htm,https://cdn2.chrono24.com/images/uhren/images_41/s6/8769641_xxl.jpg?v=1532102620350,Chrono24,daytona,"
",Automatic,72,44,40,Yellow gold,10,Yellow gold,Sapphire Glass,Green,Yellow gold,Gold,,,,"Included With This Purchase: 



- Original Box 

- Original Warranty 

- FedEx Overnight domestic shipping (once payment is verified with Chrono) 

- International Shipping 2-4 days 



*Please note that all International buyers are responsible for custom taxes and/or duties of the receiving country. 

*NY State Residents will be charged NYS Sales Tax. 





Luxury Time NYC INC. is neither affiliated with nor an authorized dealer for the above mentioned brand, watch maker or any other watch brand. We obtain our watches from reputable sources dealing directly with authorized dealers and distributors. The manufacturer's warranty is no longer valid and Luxury Time NYC is the sole warrantor of the watches sold unless purchased unworn. Luxury Time NYC warranties all items sold for two years from the date of the original sale. Warranty only covers manufacturer’s parts which existed in the movement at the time of the sale and shall be void if altered subsequent to the sale. All watches and watch items sold are previously purchased, pre-owned and/or used even if they appear unpolished or new.",
326934,Rolex Sky-Dweller 326934,U,United States of America,22.9,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/sky-dweller-stainless-steel-blue-dial--id7887032.htm,https://cdn2.chrono24.com/images/uhren/images_32/s0/7887032_xxl.jpg?v=1521475726999,Chrono24,sky.dweller,"
",Automatic,72,40,42,Steel,10,White gold,Sapphire Glass,Blue,Steel,Steel,,,,"Included With This Purchase: 



- Original Box 

- Original Warranty Card 

- FedEx Overnight domestic shipping (once payment is verified with Chrono) 

- International Shipping 2-4 days 



*Please note that all International buyers are responsible for custom taxes and/or duties of the receiving country. 

*NY State Residents will be charged NYS Sales Tax. 





Luxury Time NYC INC. is neither affiliated with nor an authorized dealer for the above mentioned brand, watch maker or any other watch brand. We obtain our watches from reputable sources dealing directly with authorized dealers and distributors. The manufacturer's warranty is no longer valid and Luxury Time NYC is the sole warrantor of the watches sold unless purchased unworn. Luxury Time NYC warranties all items sold for two years from the date of the original sale. Warranty only covers manufacturer’s parts which existed in the movement at the time of the sale and shall be void if altered subsequent to the sale. All watches and watch items sold are previously purchased, pre-owned and/or used even if they appear unpolished or new.",
